,循环号,放电容量/Ah,矢量
99,99.0,0.8468288549987895,"[0, 1.0977777777777777, 0.16666666666666666, 1.0655555555555556, 0.16666666666666666, 0.8468288549987895]"
100,100.0,0.8461631566206727,"[0, 1.0977777777777777, 0.16666666666666666, 1.0652777777777778, 0.16666666666666666, 0.8461631566206727]"
101,101.0,0.8290365528927612,"[0, 1.1061111111111113, 0.16666666666666666, 1.0622222222222222, 0.16666666666666666, 0.8290365528927612]"
102,102.0,0.8235294117647065,"[0, 1.1033333333333335, 0.16666666666666666, 1.061388888888889, 0.16666666666666666, 0.8235294117647065]"
103,103.0,0.8362987170176712,"[0, 1.1022222222222222, 0.16666666666666666, 1.063611111111111, 0.16666666666666666, 0.8362987170176712]"
104,104.0,0.8419268942144758,"[0, 1.095, 0.16666666666666666, 1.0644444444444445, 0.16666666666666666, 0.8419268942144758]"
105,105.0,0.841200677801984,"[0, 1.0958333333333332, 0.16666666666666666, 1.0647222222222223, 0.16666666666666666, 0.841200677801984]"
106,106.0,0.840595497458243,"[0, 1.0958333333333332, 0.16666666666666666, 1.0644444444444445, 0.16666666666666666, 0.840595497458243]"
107,107.0,0.8398692810457513,"[0, 1.096111111111111, 0.16666666666666666, 1.0644444444444445, 0.16666666666666666, 0.8398692810457513]"
108,108.0,0.8380537400145247,"[0, 1.096111111111111, 0.16666666666666666, 1.0641666666666667, 0.16666666666666666, 0.8380537400145247]"
109,109.0,0.8301258775114979,"[0, 1.0958333333333332, 0.16666666666666666, 1.0625, 0.16666666666666666, 0.8301258775114979]"
110,110.0,0.818143306705398,"[0, 1.103888888888889, 0.16666666666666666, 1.0605555555555557, 0.16666666666666666, 0.818143306705398]"
111,111.0,0.8131808278867094,"[0, 1.1022222222222222, 0.16666666666666666, 1.0597222222222222, 0.16666666666666666, 0.8131808278867094]"
112,112.0,0.8100338900992492,"[0, 1.1019444444444446, 0.16666666666666666, 1.0591666666666668, 0.16666666666666666, 0.8100338900992492]"
113,113.0,0.8286129266521423,"[0, 1.0941666666666665, 0.16666666666666666, 1.0622222222222222, 0.16666666666666666, 0.8286129266521423]"
114,114.0,0.8299443234083759,"[0, 1.0941666666666665, 0.16666666666666666, 1.0627777777777778, 0.16666666666666666, 0.8299443234083759]"
115,115.0,0.8302469135802468,"[0, 1.0944444444444443, 0.16666666666666666, 1.0627777777777778, 0.16666666666666666, 0.8302469135802468]"
116,116.0,0.8278867102396505,"[0, 1.095, 0.16666666666666666, 1.0622222222222222, 0.16666666666666666, 0.8278867102396505]"
117,117.0,0.8263132413459209,"[0, 1.0955555555555554, 0.16666666666666666, 1.0619444444444446, 0.16666666666666666, 0.8263132413459209]"
118,118.0,0.8246792544178163,"[0, 1.096111111111111, 0.16666666666666666, 1.0616666666666668, 0.16666666666666666, 0.8246792544178163]"
119,119.0,0.8112442507867348,"[0, 1.0947222222222222, 0.16666666666666666, 1.0594444444444444, 0.16666666666666666, 0.8112442507867348]"
